Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 3-23-2026  0:29AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  tf530r3_ram_top.ngd
output file: tf530r3_ram_top_pad.csv
Part type:   xc9572xl
Speed grade: -10
Package:     vq64

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,A<22>,I,I/O,INPUT,,,,,,,,,
P2,A<21>,I,I/O/GTS2,INPUT,,,,,,,,,
P3,VCC,,VCCINT,,,,,,,,,,
P4,A<1>,I,I/O,INPUT,,,,,,,,,
P5,SPI_MOSI,O,I/O/GTS1,OUTPUT,,,,,,,,,
P6,TIE,,I/O,,,,,,,,,,
P7,SPI_CS<0>,O,I/O,OUTPUT,,,,,,,,,
P8,SPI_CS<1>,O,I/O,OUTPUT,,,,,,,,,
P9,A<2>,I,I/O,INPUT,,,,,,,,,
P10,A<3>,I,I/O,INPUT,,,,,,,,,
P11,A<4>,I,I/O,INPUT,,,,,,,,,
P12,A<5>,I,I/O,INPUT,,,,,,,,,
P13,A<6>,I,I/O,INPUT,,,,,,,,,
P14,GND,,GND,,,,,,,,,,
P15,SPI_CLK,O,I/O/GCK1,OUTPUT,,,,,,,,,
P16,CLKCPU,GCK,I/O/GCK2,,,,,,,,,,
P17,A<20>,I,I/O/GCK3,INPUT,,,,,,,,,
P18,A<19>,I,I/O,INPUT,,,,,,,,,
P19,A<18>,I,I/O,INPUT,,,,,,,,,
P20,A<17>,I,I/O,INPUT,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,RAMOE,O,I/O,OUTPUT,,,,,,,,,
P23,RAMCS<3>,O,I/O,OUTPUT,,,,,,,,,
P24,RAMCS<2>,O,I/O,OUTPUT,,,,,,,,,
P25,RAMCS<1>,O,I/O,OUTPUT,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,RAMCS<0>,O,I/O,OUTPUT,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,D<6>,O,I/O,OUTPUT,,,,,,,,,
P32,D<5>,O,I/O,OUTPUT,,,,,,,,,
P33,D<4>,O,I/O,OUTPUT,,,,,,,,,
P34,D<7>,I/O,I/O,BIDIR,,,,,,,,,
P35,A<16>,I,I/O,INPUT,,,,,,,,,
P36,TIE,,I/O,,,,,,,,,,
P37,VCC,,VCCINT,,,,,,,,,,
P38,A<15>,I,I/O,INPUT,,,,,,,,,
P39,SIZ<1>,I,I/O,INPUT,,,,,,,,,
P40,RW20,I,I/O,INPUT,,,,,,,,,
P41,GND,,GND,,,,,,,,,,
P42,SIZ<0>,I,I/O,INPUT,,,,,,,,,
P43,STERM,O,I/O,OUTPUT,,,,,,,,,
P44,CIIN,O,I/O,OUTPUT,,,,,,,,,
P45,DS20,I,I/O,INPUT,,,,,,,,,
P46,TIE,,I/O,,,,,,,,,,
P47,AS20,I,I/O,INPUT,,,,,,,,,
P48,CBACK,O,I/O,OUTPUT,,,,,,,,,
P49,A<13>,I,I/O,INPUT,,,,,,,,,
P50,A<12>,I,I/O,INPUT,,,,,,,,,
P51,A<0>,I,I/O,INPUT,,,,,,,,,
P52,IDEWAIT,O,I/O,OUTPUT,,,,,,,,,
P53,TDO,,TDO,,,,,,,,,,
P54,GND,,GND,,,,,,,,,,
P55,VCC,,VCCIO,,,,,,,,,,
P56,INTCYCLE,O,I/O,OUTPUT,,,,,,,,,
P57,IDEINT,I,I/O,INPUT,,,,,,,,,
P58,D<2>,O,I/O,OUTPUT,,,,,,,,,
P59,D<3>,O,I/O,OUTPUT,,,,,,,,,
P60,RESET,I,I/O,INPUT,,,,,,,,,
P61,D<1>,O,I/O,OUTPUT,,,,,,,,,
P62,D<0>,O,I/O,OUTPUT,,,,,,,,,
P63,INT2,O,I/O,OUTPUT,,,,,,,,,
P64,A<23>,I,I/O/GSR,INPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


